Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank
astraAstra,Controller,Fair / B,41.52,-3.62,49.55%,2.20%,137.38,1.45,Abyss,Allrank
breachBreach,Initiator,Fair / B,39.95,-0.44,50.23%,1.94%,131.71,1.39,Abyss,Allrank
brimstoneBrimstone,Controller,Weak / C,33.76,-2.15,49.17%,1.24%,130.18,1.42,Abyss,Allrank
chamberChamber,Sentinel,Good / A,53.72,0.49,50.22%,4.30%,147.13,1.33,Abyss,Allrank
cloveClove,Controller,Strong / S,85.73,2.79,51.10%,9.27%,152.67,1.5,Abyss,Allrank
cypherCypher,Sentinel,Strong / S,69.57,3.25,50.27%,7.83%,132.8,1.32,Abyss,Allrank
deadlockDeadlock,Sentinel,Fair / B,42.16,1.83,50.49%,2.48%,134.06,1.29,Abyss,Allrank
fadeFade,Initiator,Bad / D,26.47,-5.56,48.44%,1.10%,120.93,1.25,Abyss,Allrank
gekkoGekko,Initiator,Good / A,54.3,-0.26,50.16%,5.36%,126.86,1.25,Abyss,Allrank
harborHarbor,Controller,Bad / D,25.82,-0.64,48.44%,0.64%,128.17,1.28,Abyss,Allrank
isoIso,Duelist,Strong / S,61.85,1.52,50.35%,5.22%,161.57,1.37,Abyss,Allrank
jettJett,Duelist,God / S+,97.37,2.05,50.18%,12.56%,154.48,1.32,Abyss,Allrank
kayoKAY/O,Initiator,Weak / C,35.39,-0.53,48.65%,1.76%,130.86,1.44,Abyss,Allrank
killjoyKilljoy,Sentinel,Bad / D,33.03,-3.36,50.29%,1.14%,132.05,1.21,Abyss,Allrank
neonNeon,Duelist,Good / A,50.46,0.09,50.27%,3.97%,143.94,1.27,Abyss,Allrank
omenOmen,Controller,Good / A,57.28,1.02,49.14%,5.56%,144.85,1.36,Abyss,Allrank
phoenixPhoenix,Duelist,Fair / B,41.58,7.03,49.32%,2.35%,149.65,1.34,Abyss,Allrank
razeRaze,Duelist,Fair / B,43.65,5.44,50.12%,2.39%,151.48,1.3,Abyss,Allrank
reynaReyna,Duelist,God / S+,85.79,2.77,50.44%,9.76%,157.94,1.41,Abyss,Allrank
sageSage,Sentinel,Good / A,49.77,-7.26,50.10%,4.36%,127.77,1.29,Abyss,Allrank
skyeSkye,Initiator,Weak / C,33.47,-0.28,49.49%,1.41%,127.61,1.33,Abyss,Allrank
sovaSova,Initiator,Strong / S,70.07,3.19,50.20%,7.70%,137.46,1.35,Abyss,Allrank
viperViper,Controller,Weak / C,33.49,1.59,50.37%,0.43%,141.18,1.35,Abyss,Allrank
vyseVyse,Sentinel,Good / A,44.46,-8.97,50.05%,2.75%,138.1,1.37,Abyss,Allrank
yoruYoru,Duelist,Fair / B,39.33,-0.02,49.22%,2.46%,140.41,1.28,Abyss,Allrank
astraAstra,Controller,Good / A,47.05,-4.96,49.36%,3.23%,137.86,1.48,Abyss,Ascendant
breachBreach,Initiator,Fair / B,41.31,0.52,49.41%,2.12%,131.04,1.41,Abyss,Ascendant
brimstoneBrimstone,Controller,Weak / C,35.41,-1.54,49.09%,0.35%,135.08,1.51,Abyss,Ascendant
chamberChamber,Sentinel,Good / A,54.02,-0.53,50.23%,4.80%,149.83,1.33,Abyss,Ascendant
cloveClove,Controller,God / S+,81.74,5.45,51.27%,10.76%,155.21,1.54,Abyss,Ascendant
cypherCypher,Sentinel,Strong / S,72.05,3.57,50.19%,9.93%,134.59,1.31,Abyss,Ascendant
deadlockDeadlock,Sentinel,Fair / B,43.88,0.72,50.34%,2.56%,137.45,1.31,Abyss,Ascendant
fadeFade,Initiator,Bad / D,34.74,0.15,49.58%,0.53%,131.32,1.36,Abyss,Ascendant
gekkoGekko,Initiator,Good / A,54.12,-1.3,50.10%,5.65%,128.15,1.27,Abyss,Ascendant
harborHarbor,Controller,Bad / D,32.86,-1.19,48.57%,0.44%,131.24,1.36,Abyss,Ascendant
isoIso,Duelist,Strong / S,59.92,2.61,50.61%,5.49%,167.16,1.4,Abyss,Ascendant
jettJett,Duelist,God / S+,96.73,-0.07,49.96%,15.77%,157.31,1.31,Abyss,Ascendant
kayoKAY/O,Initiator,Fair / B,38.1,1.7,49.03%,1.15%,134.21,1.49,Abyss,Ascendant
killjoyKilljoy,Sentinel,Bad / D,33.76,0.86,49.51%,0.40%,138.73,1.25,Abyss,Ascendant
neonNeon,Duelist,Good / A,47.57,-0.13,50.14%,3.42%,147.9,1.27,Abyss,Ascendant
omenOmen,Controller,Good / A,51.73,-1.3,48.62%,4.86%,142.15,1.4,Abyss,Ascendant
phoenixPhoenix,Duelist,Fair / B,41.0,-0.78,50.12%,1.00%,159.03,1.42,Abyss,Ascendant
razeRaze,Duelist,Fair / B,40.5,-0.73,49.74%,1.44%,155.44,1.3,Abyss,Ascendant
reynaReyna,Duelist,Strong / S,74.93,1.75,50.33%,9.71%,158.2,1.4,Abyss,Ascendant
sageSage,Sentinel,Weak / C,38.02,0.48,50.06%,1.38%,128.1,1.32,Abyss,Ascendant
skyeSkye,Initiator,Weak / C,34.86,-3.57,49.12%,0.63%,133.75,1.37,Abyss,Ascendant
sovaSova,Initiator,Strong / S,73.65,3.03,50.31%,9.90%,140.55,1.39,Abyss,Ascendant
viperViper,Controller,Weak / C,35.58,0.57,49.49%,0.11%,148.02,1.43,Abyss,Ascendant
vyseVyse,Sentinel,Good / A,46.84,-6.15,50.89%,2.64%,142.46,1.42,Abyss,Ascendant
yoruYoru,Duelist,Fair / B,39.63,0.84,49.25%,1.69%,145.84,1.3,Abyss,Ascendant
astraAstra,Controller,Bad / D,28.03,-2.56,49.01%,0.83%,129.76,1.34,Abyss,Bronze
breachBreach,Initiator,Fair / B,41.38,8.22,50.06%,2.12%,130.27,1.31,Abyss,Bronze
brimstoneBrimstone,Controller,Fair / B,42.62,0.15,49.71%,2.29%,131.88,1.37,Abyss,Bronze
chamberChamber,Sentinel,Good / A,56.31,1.14,50.19%,3.98%,142.44,1.31,Abyss,Bronze
cloveClove,Controller,God / S+,89.99,-1.98,51.21%,7.83%,148.12,1.43,Abyss,Bronze
cypherCypher,Sentinel,Strong / S,65.03,0.46,50.56%,6.06%,128.57,1.31,Abyss,Bronze
deadlockDeadlock,Sentinel,Fair / B,41.28,0.51,50.36%,2.31%,128.17,1.24,Abyss,Bronze
fadeFade,Initiator,Weak / C,35.18,3.37,49.73%,2.02%,125.07,1.27,Abyss,Bronze
gekkoGekko,Initiator,Good / A,58.8,-1.32,50.30%,6.23%,124.5,1.21,Abyss,Bronze
harborHarbor,Controller,Bad / D,18.89,5.05,48.47%,1.04%,124.0,1.22,Abyss,Bronze
isoIso,Duelist,Good / A,59.27,-1.08,50.09%,3.92%,152.83,1.32,Abyss,Bronze
jettJett,Duelist,Strong / S,68.63,-1.0,49.98%,6.30%,148.62,1.31,Abyss,Bronze
kayoKAY/O,Initiator,Weak / C,32.54,3.2,48.77%,2.34%,125.0,1.34,Abyss,Bronze
killjoyKilljoy,Sentinel,Fair / B,40.19,0.86,50.14%,2.33%,132.18,1.21,Abyss,Bronze
neonNeon,Duelist,Good / A,54.94,0.17,49.93%,4.91%,138.02,1.24,Abyss,Bronze
omenOmen,Controller,Strong / S,63.69,-0.97,49.27%,7.04%,140.05,1.29,Abyss,Bronze
phoenixPhoenix,Duelist,Good / A,50.34,1.54,49.83%,2.94%,146.65,1.33,Abyss,Bronze
razeRaze,Duelist,Good / A,48.95,-2.99,49.39%,3.89%,144.16,1.27,Abyss,Bronze
reynaReyna,Duelist,God / S+,98.89,0.53,50.50%,10.27%,154.39,1.41,Abyss,Bronze
sageSage,Sentinel,Strong / S,67.78,-0.82,50.19%,8.18%,119.66,1.25,Abyss,Bronze
skyeSkye,Initiator,Weak / C,35.43,-2.03,49.53%,2.36%,122.16,1.29,Abyss,Bronze
sovaSova,Initiator,Fair / B,48.05,-1.05,49.84%,3.81%,132.34,1.28,Abyss,Bronze
viperViper,Controller,Bad / D,23.04,2.06,48.74%,0.87%,131.06,1.24,Abyss,Bronze
vyseVyse,Sentinel,Fair / B,44.94,-13.3,49.90%,3.09%,130.49,1.3,Abyss,Bronze
yoruYoru,Duelist,Weak / C,35.81,1.83,48.92%,3.06%,132.61,1.23,Abyss,Bronze
astraAstra,Controller,Good / A,44.64,-3.5,49.49%,2.67%,139.23,1.49,Abyss,Diamond
breachBreach,Initiator,Fair / B,41.39,0.06,49.52%,2.49%,131.03,1.38,Abyss,Diamond
brimstoneBrimstone,Controller,Weak / C,36.73,3.82,50.32%,0.62%,135.71,1.5,Abyss,Diamond
chamberChamber,Sentinel,Good / A,56.95,-2.45,49.87%,5.36%,149.74,1.33,Abyss,Diamond
cloveClove,Controller,God / S+,84.54,3.79,51.09%,10.16%,153.7,1.52,Abyss,Diamond
cypherCypher,Sentinel,Strong / S,70.2,3.47,50.19%,8.60%,134.1,1.32,Abyss,Diamond
deadlockDeadlock,Sentinel,Fair / B,42.79,0.73,50.50%,2.50%,134.96,1.3,Abyss,Diamond
fadeFade,Initiator,Weak / C,33.08,-1.98,49.31%,0.85%,132.22,1.34,Abyss,Diamond
gekkoGekko,Initiator,Good / A,58.14,-0.8,50.10%,6.35%,127.7,1.26,Abyss,Diamond
harborHarbor,Controller,Bad / D,27.89,-0.08,47.79%,0.53%,130.47,1.32,Abyss,Diamond
isoIso,Duelist,Good / A,58.65,2.61,50.57%,4.69%,167.46,1.41,Abyss,Diamond
jettJett,Duelist,God / S+,97.09,0.05,50.11%,13.87%,157.2,1.32,Abyss,Diamond
kayoKAY/O,Initiator,Weak / C,36.44,-2.6,48.43%,1.60%,133.39,1.46,Abyss,Diamond
killjoyKilljoy,Sentinel,Bad / D,31.65,-1.61,49.35%,0.76%,136.87,1.22,Abyss,Diamond
neonNeon,Duelist,Good / A,47.36,2.43,50.23%,3.40%,146.52,1.27,Abyss,Diamond
omenOmen,Controller,Strong / S,58.78,4.51,48.96%,5.71%,159.37,1.4,Abyss,Diamond
phoenixPhoenix,Duelist,Fair / B,40.43,-2.37,49.90%,1.44%,154.89,1.39,Abyss,Diamond
razeRaze,Duelist,Fair / B,41.51,0.02,49.48%,2.14%,154.2,1.3,Abyss,Diamond
reynaReyna,Duelist,Strong / S,82.32,0.83,50.34%,10.18%,159.56,1.42,Abyss,Diamond
sageSage,Sentinel,Fair / B,40.99,-1.64,49.99%,2.54%,126.91,1.3,Abyss,Diamond
skyeSkye,Initiator,Weak / C,35.2,1.5,49.80%,1.03%,131.94,1.37,Abyss,Diamond
sovaSova,Initiator,Strong / S,67.74,3.85,50.39%,7.56%,140.95,1.39,Abyss,Diamond
viperViper,Controller,Bad / D,31.71,0.14,49.43%,0.19%,142.3,1.35,Abyss,Diamond
vyseVyse,Sentinel,Good / A,46.67,-10.24,50.26%,3.02%,140.7,1.39,Abyss,Diamond
yoruYoru,Duelist,Fair / B,37.11,-0.53,48.83%,1.71%,145.34,1.3,Abyss,Diamond
astraAstra,Controller,Fair / B,35.93,-2.64,49.62%,1.54%,138.68,1.45,Abyss,Gold
breachBreach,Initiator,Fair / B,41.02,1.3,49.95%,2.71%,133.15,1.35,Abyss,Gold
brimstoneBrimstone,Controller,Fair / B,35.38,1.77,49.72%,1.41%,136.68,1.46,Abyss,Gold
chamberChamber,Sentinel,Good / A,59.74,-1.21,50.08%,5.13%,151.66,1.37,Abyss,Gold
cloveClove,Controller,God / S+,92.58,1.43,51.34%,9.32%,154.24,1.51,Abyss,Gold
cypherCypher,Sentinel,Strong / S,67.32,0.88,50.39%,6.92%,133.95,1.34,Abyss,Gold
deadlockDeadlock,Sentinel,Fair / B,39.2,2.12,50.37%,2.29%,135.16,1.29,Abyss,Gold
fadeFade,Initiator,Weak / C,32.03,2.31,49.96%,1.33%,131.18,1.33,Abyss,Gold
gekkoGekko,Initiator,Strong / S,60.16,-0.35,50.31%,6.20%,128.63,1.26,Abyss,Gold
harborHarbor,Controller,Bad / D,22.67,0.75,48.66%,0.76%,129.29,1.29,Abyss,Gold
isoIso,Duelist,Good / A,59.8,-0.02,50.61%,4.21%,165.49,1.41,Abyss,Gold
jettJett,Duelist,Strong / S,91.65,-0.3,50.23%,10.24%,159.22,1.36,Abyss,Gold
kayoKAY/O,Initiator,Weak / C,33.61,-0.34,48.77%,1.99%,132.17,1.42,Abyss,Gold
killjoyKilljoy,Sentinel,Weak / C,32.8,1.47,49.90%,1.62%,137.49,1.24,Abyss,Gold
neonNeon,Duelist,Good / A,50.21,0.58,50.03%,4.05%,146.57,1.28,Abyss,Gold
omenOmen,Controller,Strong / S,65.04,-1.0,49.15%,6.68%,150.01,1.37,Abyss,Gold
phoenixPhoenix,Duelist,Fair / B,44.09,0.44,50.07%,2.20%,157.24,1.4,Abyss,Gold
razeRaze,Duelist,Fair / B,44.78,-1.64,49.55%,3.12%,152.69,1.31,Abyss,Gold
reynaReyna,Duelist,God / S+,98.36,-0.44,50.46%,10.82%,162.02,1.45,Abyss,Gold
sageSage,Sentinel,Good / A,53.49,-0.33,50.02%,5.26%,124.95,1.29,Abyss,Gold
skyeSkye,Initiator,Bad / D,30.99,-2.12,49.15%,1.74%,128.81,1.33,Abyss,Gold
sovaSova,Initiator,Good / A,56.24,3.23,50.26%,4.81%,140.04,1.37,Abyss,Gold
viperViper,Controller,Bad / D,22.79,4.02,48.81%,0.38%,136.87,1.31,Abyss,Gold
vyseVyse,Sentinel,Good / A,46.59,-11.62,50.08%,3.29%,139.79,1.37,Abyss,Gold
yoruYoru,Duelist,Weak / C,33.55,1.69,49.00%,1.98%,142.48,1.29,Abyss,Gold
astraAstra,Controller,Good / A,49.07,-6.19,48.93%,3.91%,140.02,1.51,Abyss,Immortal
breachBreach,Initiator,Weak / C,37.31,-5.96,48.92%,1.23%,128.5,1.4,Abyss,Immortal
brimstoneBrimstone,Controller,Weak / C,37.33,-1.04,49.52%,0.20%,138.41,1.55,Abyss,Immortal
chamberChamber,Sentinel,Good / A,48.48,-4.68,50.05%,3.47%,151.27,1.34,Abyss,Immortal
cloveClove,Controller,God / S+,82.32,8.34,51.14%,11.92%,156.0,1.55,Abyss,Immortal
cypherCypher,Sentinel,Strong / S,71.4,2.39,50.08%,10.67%,134.52,1.3,Abyss,Immortal
deadlockDeadlock,Sentinel,Good / A,45.12,1.62,50.41%,2.83%,137.31,1.32,Abyss,Immortal
fadeFade,Initiator,Bad / D,34.56,1.27,49.03%,0.27%,134.03,1.39,Abyss,Immortal
gekkoGekko,Initiator,Good / A,49.65,-0.31,50.63%,4.36%,129.8,1.29,Abyss,Immortal
harborHarbor,Controller,Bad / D,34.0,0.61,48.46%,0.23%,137.05,1.4,Abyss,Immortal
isoIso,Duelist,Strong / S,63.45,4.06,50.51%,6.90%,167.73,1.4,Abyss,Immortal
jettJett,Duelist,God / S+,96.7,4.02,50.00%,17.32%,156.68,1.3,Abyss,Immortal
kayoKAY/O,Initiator,Fair / B,39.18,0.16,49.41%,0.96%,135.34,1.52,Abyss,Immortal
killjoyKilljoy,Sentinel,Bad / D,33.78,-9.3,49.56%,0.14%,138.7,1.24,Abyss,Immortal
neonNeon,Duelist,Good / A,48.1,-1.27,50.17%,3.65%,147.43,1.27,Abyss,Immortal
omenOmen,Controller,Good / A,49.23,-3.25,48.99%,3.93%,152.22,1.4,Abyss,Immortal
phoenixPhoenix,Duelist,Fair / B,39.71,-6.26,49.56%,0.71%,159.68,1.41,Abyss,Immortal
razeRaze,Duelist,Fair / B,40.43,3.47,50.07%,0.92%,159.71,1.34,Abyss,Immortal
reynaReyna,Duelist,Strong / S,71.34,2.01,50.90%,9.23%,159.2,1.4,Abyss,Immortal
